Water system name,Water body type,Water body name,Water body abbraviation,Sampling station,Sample name,Sampling date,Sample type,Latitude,Longitude,Elevation,Sample memo,pH,Temperature [C],Alkalinity [meq/L],Electrical conductivity [mS/m],Oxidation-reduction potential [mV],Dissolved oxygen [mg/L],Flow rate [m3/s],Na+ [ppm],Ca++ [ppm],K+ [ppm],Mg++ [ppm],Si [ppm],Cl- [ppm],SO4-- [ppm],NO2- [ppm],NO3- [ppm],Ionic strength [mol/kgw],Charge imbalance [eq],Charge imbalance [%],log a Ca++,log a Mg++,log a CO3--,si_CO2(g),si_Monohydrocalcite,si_AMC_TK,si_MSH075KF,si_Gypsum,HCO3- [ppm]
Boon Tsagaan Lake,River,Baidrag River,BD,1,BD_01,2024-08-30,Water,46.176111,99.264528,,"Collected by Baaska, very light rain",8.39,17.3,1.53,19.12,220.0,4.84,,10.6,24.50391488,1.539375482,7.701778607,4.198838079,5.68,18.3,0.0,0.63,0.003240477920658202,0.00024074285406751436,5.563944849937608,-3.3373653165287984,-3.6189318115107554,-4.89613519874744,-3.475555006411706,-0.960494381607377,-2.8321105418870864,-1.135828090671783,-2.682503839351048,92.1936507405445
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-08-30,Water,45.861944,99.336944,,Collected by Baaska,8.25,17.9,1.63,19.76,224.0,5.26,,8.68,25.05395088,1.656339027,8.017075,4.568291366,13.2,19.9,0.0,1.12,0.0034553633651960122,-0.00016680328041741285,-3.563334434185573,-3.3300933729781264,-3.6048734573874803,-4.999178183071848,-3.300386008120314,-1.061950132820019,-2.9267847375001486,-1.2960608557302136,-2.642230653444793,99.11058980337882
Boon Tsagaan Lake,River,Baidrag River,BD,02D,BD_02D,2024-08-30,Water,46.0325,99.288333,,"Collected by Baaska, couldn reach the same point as last time so walked little down from the previous point",8.18,17.6,1.64,19.55,228.0,5.05,,8.66,25.00037495,1.59327685,7.963349153,4.459603038,11.4,21.0,0.24,0.71,0.003443445431388136,-0.00014637842152908216,-3.151234455909855,-3.3302231735365453,-3.6077039051112187,-5.067114550319502,-3.227434150950442,-1.127181644828172,-2.9947162992438585,-1.412477864185112,-2.6188460035737835,100.21761820303857
Boon Tsagaan Lake,River,Baidrag River,BD,T,BD_T,2024-08-30,Water,46.174694,99.025444,,"Collected by Baaska, very light rain",8.45,14.6,3.99,45.0,141.0,5.76,,43.3,45.75102615,5.009684795,22.37282776,3.636029091,21.5,55.7,0.72,5.14,0.008224773832065125,-3.904232484847818e-05,-0.33611394539948697,-3.1413605683232078,-3.225572296701792,-4.47075164419639,-3.161404303062464,-0.3129042554642205,-1.9872553506843915,-0.8148724002422565,-2.0875110893978395,238.41959663616709
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,1,BTS_01,2024-10-09,Water,45.614381,99.244948,,,8.96,15.3,4.09,96.6,50.0,10.24,,103.1489521,30.38186577,7.278555981,29.31577352,1.88,264.0,250.0,0.0,0.0,0.01583579379697842,-0.008141248573238327,-34.46277776003752,-3.423520995914395,-3.214693451541026,-3.9986473458738843,-3.7115878966645184,-0.1299502702817259,-1.511418615363485,-0.3585285953566597,-1.758960869381216,231.8107300764045
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,2,BTS_02,2024-10-09,Water,45.659956,99.153292,1297.0,,9.13,12.5,16.0,752.0,101.0,7.44,,1769.614186,32.18152509,105.3681656,282.549675,0.35,1530.0,1800.0,0.0,0.0,0.11039957777605412,0.007885423147009196,4.469817502649107,-3.682447253989016,-2.4924017220970964,-3.442455771421916,-3.4844580814658626,0.19438453980044468,-0.20792827293220295,-0.41918217317414097,-1.5033124411654528,837.2015135396937
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-10-09,Water,45.607672,98.979383,1280.0,,9.04,6.5,14.6,614.0,88.0,7.24,,1670.0,30.1879434,99.99562815,263.1792516,0.46,1330.0,1550.0,0.0,0.0,0.10157543298963603,0.013968983293912544,8.592964562857418,-3.6620943745009136,-2.4762408394110342,-3.5932924653692044,-3.4301557877957674,0.12837058761760245,-0.2779432038527849,-0.37835446262036854,-1.529733586761651,797.4155388607005
Boon Tsagaan Lake,River,Baidrag River,BD,E1,BD_E1,2024-10-09,Water,45.631383,99.269986,,,8.22,11.2,1.82,20.2,110.0,10.07,11.1,11.21199969,29.44827323,1.628711653,10.87907673,1.90419467,9.57,25.0,0.14,0.54,0.004066145358114812,0.00023502158363346705,4.3714664560117695,-3.266673705728231,-3.478817537985337,-5.047787766302288,-3.2659369329514876,-0.9805631206722234,-2.7827674019271407,-1.6246934924851493,-2.4974833201205797,111.35917520972393
Boon Tsagaan Lake,River,Baidrag River,BD,E1-1,BD_E1-1,2024-10-09,Water,,,,"A few meters north from the BD River Estuary 1, Tributary of the BD River Estuary 1",,,,,,,0.192,,,,,,,,,,,,,,,,,,,,,
Boon Tsagaan Lake,River,Baidrag River,BD,E2-1,BD_E2-1,2024-10-09,Water,45.630653,99.267672,1312.0,"A few meters south from BD River Estuary 2, merged with another tributary that did not exist at Aug",8.66,12.2,1.87,21.6,102.0,7.05,0.931,11.37671793,29.71242064,1.687105879,10.53025773,1.881519659,12.1,31.6,0.28,0.63,0.004204804491464231,-4.70651352016422e-05,-0.848243945575142,-3.275104471563597,-3.5021299873051004,-4.605443982437389,-3.707462713075177,-0.5570298169028485,-2.3741176197662788,-0.9974993449001657,-2.404406038360654,110.74994348114363
Boon Tsagaan Lake,River,Baidrag River,BD,1,BD_01,2024-10-10,Water,46.175764,99.265862,,,8.17,8.9,1.93,22.8,111.0,11.83,,14.56054071,32.01027086,1.728947469,13.32509606,2.47654147,11.2,50.2,0.22,2.31,0.005030334992528167,-0.0001004605864076217,-1.5314187767364116,-3.2471150140908196,-3.4089984856783286,-5.098622882772752,-3.2072867370841394,-0.9873740244557072,-2.7393305332718128,-1.532290178972497,-2.1903059529970976,118.61364815538151
